Incident_ID,Report_ID,Department,Doc_Type,Date,Program,Key_Detail
INC_020,RPT_020,The Jefferson County Sheriff’s Office,MRAP SOP,"January 13, 2015",Law Enforcement Support,Mine Resistant Ambush Protected (MRAP) Vehicle Standard Operating Procedure (SOP) Effective Revisions: None PURPOSE: The Jefferson County Sheriff’s Vehicle through the LESO 1033 Program. The Jefferson County Sheriff recognizes and appreciates the uniqueness of this vehicle. The purpose of this vehic...
INC_021,RPT_021,Little Rock Police Department,Training Course Outline,"May 21, 2015",Law Enforcement Support,"LITTLE ROCK POLICE DEPARTMENT 700 WEST MARKHAM LITTLE 2201- Kenton Buckner ee ee (501) 371-4605 Chief of Police May 21, 2015 Mr. James Ray Arkansas Department of Career Education Law Enforcement Support Little Rock, Arkansas 72201-1083 Re: Mine Resistant Ambush Protected Vehicle Dear Mr. Ray: On Jul..."
INC_022,RPT_022,City of Little Rock Police Department,MRAP Memorandum,"June 17, 2014",Law Enforcement Support,"114 City of Little Rock Police Department 700 West Markham Little Rock, Arkansas 72301-1329 MEMORANDUM TO: Capt. Robertson FROM: Lt. T. Calhoun #14461 RE: MRAP Training DATE: June 17, 2014 The Department recently acquired two Mine Resistant Ambush Protected (MRAP) vehicles, The operator training, wh..."
INC_023,RPT_023,Lonoke County Sheriff’s Office,Equipment Request,December 2015,Law Enforcement Support,"Lonoke County Sheriff’s DateW: hom it may Concern December 2015 MRAP CountyT hSeh eforilflfo’sw oinffgic deo, bcuym theen Utantiiotend sS tiantteesn Gdeodv etron dmoecnutm. ent to intended use and training of the Mine ResistaCnotu Anmtyb Suhsehr Pifrf’ost Oecftfiicon Vehicle, which was allocated to ..."
INC_024,RPT_024,Lonoke County Sheriff’s Office,Training Lesson Plan,3001,Law Enforcement Support,Lonoke County Sheriff’s COURSE: LESSON TITLE: CLEST Continuing Education Course Mine Resistant Ambush DURATION: TRAINING LEVEL: Protection Vehicle Operations PREPARED BY: James Hall Certified Law Enforcement Instructor 4.0 Hours Full time Deputies Number of Trainees: 5-10 METHOD OF PRESENTATION: INS...
INC_025,RPT_025,Lonoke County Sheriff’s Office,Trainee Reference Materials,3001,Law Enforcement Support,Lonoke County Sheriff’s TRAINEE REFERENCE MATERIALS: INSTRUCTOR REFERENCE: MATERIALS: TRAINING AIDS REQUIRED: Provided by the Agency 1. A/V projector 2. Dry Erase 3. MRAP Lonoke County Sheriff’s Protection Vehicle Primary Purpose Special Response and Tactics Operations Required TraininSgearch and Re...
INC_026,RPT_026,The Mississippi County Sheriff's Department,Equipment Request,"December 17, 2014",Law Enforcement Support,"County of Mississippi State of Arkansas SHERIFF’S DEPARTMENT 685 North CR599_ Luxora, Arkansas 72358 FAX “Mission #1 is to Protect and Serve” AUBRY D. COOK SHERIFF December 17, 2014 The Mississippi County Sheriff's Department has received Mine Resistant Ambush Protected Vehicle (MRAP) via the LESO 1..."
INC_027,RPT_027,Pulaski County Sheriff's Office,General Order / Policy,"June 8, 2015",Law Enforcement Support,"Pulaski County Doc Holladay, Sheriff 2900 S. Woodrow St., Little Rock, AR 72204 Tel: (501) 340-6600 June 8, 2015 Mr. James Ray, Law Enforcement Support James: As of 6/1/15, the Pulaski County Sheriff's training of the Mine-Resistant Ambush Protected (MRAP) vehicle obtained from the Law Enforcement S..."
INC_028,RPT_028,MRAP The Rogers Police Department,MRAP Memorandum,July 2 2014,Law Enforcement Support,"Hayes Minor 1905 S. DIXIELAND RD Chief of Police ROGERS, AR 72756 PH FAX ROGERS POLICE 16 March 2015 James Ray Arkansas Department of Career Education Law Enforcement Support RE: MRAP The Rogers Police Department intends to only allow personnel with appropriate training to use, operate, and maintain..."
INC_029,RPT_029,Sheriff Mike McGou Union County Sheriff's Office,General Report,Unknown,Equipment Transfer,"-Vehicle tip and rollover -Steering and proper maneuvering -Falls, smashed and pinched extremities -Rollover/Egress procedures -Use of seatbelts -Risk and contact with high voltage power lines These items will include classroom portion hands on drivers portion. Yike Veber Sheriff Mike McGou Union Co..."
